target_mode,interface,n_random_seeds,adjusted_gain_seed_mean,adjusted_gain_seed_sd,adjusted_gain_seed_min,adjusted_gain_seed_max,standardized_gain_seed_mean,standardized_gain_seed_sd,standardized_gain_seed_min,standardized_gain_seed_max,min_positive_strata,max_positive_strata,all_seed_means_positive
label_only_direction,direct_label_completion,5,2.601351900698824,0.09724923677897065,2.4642772164402738,2.710596402667256,6.36892878697033,0.16526972081737615,6.229477270309736,6.62666971422087,12,12,True
label_only_direction,letter_canonical,5,0.14870569093359842,0.07533437471103448,0.07564815333009595,0.2615817472493897,0.45488022076045864,0.30647369580503536,0.00859552418014159,0.804734802316331,7,9,True
label_only_direction,letter_reversed,5,0.1234919319808897,0.05587808638799864,0.039626099350344814,0.17103599842327336,0.7880397535738504,0.3212432045990258,0.27356634178535066,1.1001034183887646,8,8,True
label_only_direction,opaque_completion,5,0.27107461880966893,0.035605888255440664,0.21482472284211931,0.3040851696953016,1.968415180048673,0.1266520817565042,1.7880270672776242,2.1234624151617973,10,12,True
mapping_balanced_direction,direct_label_completion,5,3.8933677087382725,0.09724923677897047,3.756293024479722,4.002612210706705,6.258044253340063,0.1219369934651208,6.097494155572462,6.387826769782404,12,12,True
mapping_balanced_direction,letter_canonical,5,1.2899046356479327,0.0753343747110344,1.2168470980444301,1.4027806919637238,1.4816427750106336,0.20038575601284458,1.3175700335001677,1.8281468427281204,8,10,True
mapping_balanced_direction,letter_reversed,5,1.1497595684965038,0.055878086387998585,1.065893735865959,1.1973036349388873,1.2110204721264521,0.08675104431300458,1.118593665078038,1.326234808173805,9,9,True
mapping_balanced_direction,opaque_completion,5,1.2390508662091129,0.03560588825544073,1.1828009702415632,1.2720614170947455,2.734823271223955,0.15275062036136067,2.5125362610562076,2.9287379852520234,11,11,True
raw_pre_answer,direct_label_completion,5,2.8283536046639908,0.09724923677897038,2.691278920405441,2.937598106632423,5.491320721445544,0.17988225763395846,5.232900011498969,5.70099708899756,12,12,True
raw_pre_answer,letter_canonical,5,4.659515341655869,0.07533437471103453,4.586457804052366,4.77239139797166,4.941490006068269,0.10466906953685844,4.8368985917644975,5.061793260998473,12,12,True
raw_pre_answer,letter_reversed,5,-0.12714686670030156,0.055878086387998675,-0.21101269933084651,-0.07960280025791795,-0.003705825937333368,0.1336333094781365,-0.17164785991009487,0.18071370617131335,6,8,False
raw_pre_answer,opaque_completion,5,1.3044504222684838,0.035605888255440726,1.2482005263009341,1.3374609731541165,4.707479586815253,0.19691801929838856,4.459037683597265,4.86702305760193,12,12,True
